variable,n,mean,sd,p25,median,p75,min,max
churn_t_t1,2700,0.53460945677826,0.258667073809479,0.24,0.608695652173913,0.680851063829787,0.0869565217391305,1
jaccard_t_t1,2700,0.46539054322174,0.258667073809479,0.319148936170213,0.391304347826087,0.76,0,0.91304347826087
divergence_to_base,2700,0.583961546262275,0.329707585850877,0.342857142857143,0.594594594594595,0.91304347826087,0,1
n_curr,2700,25.7766666666667,4.7379780980865,22,25.5,29,14,41
log_degree,2700,3.27169542223515,0.179154601194192,3.13549421592915,3.27696670201291,3.40119738166216,2.70805020110221,3.73766961828337
waiver_any,2700,0.408148148148148,0.491581873471327,0,0,1,0,1
deny_any,2700,0.473703703703704,0.499400516114797,0,0,1,0,1
grant_share,2700,0.225756680562236,0.316688964299192,0,0,0.5,0,1
exposure_deny,2700,0.477855986836242,0.442792219833791,0,0.635401856970639,0.913769871806714,0,1
exposure_waive,2700,0.409891759087332,0.393385509674049,0,0.468219867367747,0.790358840151633,0,1
log_assets,2700,9.89038079472043,1.01427985849473,9.20341260986066,9.95002959448491,10.6252416028572,6.60361491155076,12.4469461366964
leverage,2700,0.284002975120441,0.162526205859834,0.167219997114056,0.258321339226601,0.389482987929918,0.01,0.837120205158611
share_china,2700,0.223150967321683,0.0896519169840126,0.16,0.222222222222222,0.28125,0,0.583333333333333
share_usa,2700,0.362915021308953,0.0958266730928126,0.296296296296296,0.36,0.428571428571429,0.0454545454545455,0.736842105263158
